trial_id,integrante,kata,tratamento,timestamp_inicio,timestamp_fim,tempo_segundos,tempo_minutos,timebox_minutos,status,testes_passando,testes_total,exit_code,test_cmd,log_path,observacoes
eduardo_agenda-recorrente_com_ia_20260920T131655,Eduardo,agenda-recorrente,com_ia,2026-09-20T10:58:07.028422+00:00,2026-09-20T11:00:37.978422+00:00,150.95,2.52,35.0,passou,8,8,0,pytest trials/eduardo_agenda-recorrente_com_ia_20260920T131655,data/logs/eduardo_agenda-recorrente_com_ia_20260920T131655.log,
eduardo_roteador-notificacoes_sem_ia_20260920T130551,Eduardo,roteador-notificacoes,sem_ia,2026-09-20T11:02:21.083859+00:00,2026-09-20T11:05:02.513859+00:00,161.43,2.69,35.0,passou,8,8,0,pytest trials/eduardo_roteador-notificacoes_sem_ia_20260920T130551,data/logs/eduardo_roteador-notificacoes_sem_ia_20260920T130551.log,
saulo_fila-prioridade_com_ia_20260918T165156,Saulo,fila-prioridade,com_ia,2026-09-18T14:30:04.714221+00:00,2026-09-18T14:32:09.754221+00:00,125.04,2.08,35.0,passou,8,8,0,pytest trials/saulo_fila-prioridade_com_ia_20260918T165156,data/logs/saulo_fila-prioridade_com_ia_20260918T165156.log,
saulo_janela-cobranca_sem_ia_20260918T163812,Saulo,janela-cobranca,sem_ia,2026-09-18T14:35:56.982477+00:00,2026-09-18T14:42:20.392477+00:00,383.41,6.39,35.0,passou,8,8,0,pytest trials/saulo_janela-cobranca_sem_ia_20260918T163812,data/logs/saulo_janela-cobranca_sem_ia_20260918T163812.log,
saulo_agenda-recorrente_com_ia_20260918T170057,Saulo,agenda-recorrente,com_ia,2026-09-18T14:44:18.364198+00:00,2026-09-18T14:50:08.874198+00:00,350.51,5.84,35.0,passou,8,8,0,pytest trials/saulo_agenda-recorrente_com_ia_20260918T170057,data/logs/saulo_agenda-recorrente_com_ia_20260918T170057.log,
saulo_roteador-notificacoes_sem_ia_20260918T165517,Saulo,roteador-notificacoes,sem_ia,2026-09-18T14:53:08.448116+00:00,2026-09-18T14:56:21.338116+00:00,192.89,3.21,35.0,passou,8,8,0,pytest trials/saulo_roteador-notificacoes_sem_ia_20260918T165517,data/logs/saulo_roteador-notificacoes_sem_ia_20260918T165517.log,
ian_fila-prioridade_com_ia_20260918T180423,Ian,fila-prioridade,com_ia,2026-09-18T15:51:54.150432+00:00,2026-09-18T15:58:05.750432+00:00,371.6,6.19,35.0,passou,8,8,0,pytest trials/ian_fila-prioridade_com_ia_20260918T180423,data/logs/ian_fila-prioridade_com_ia_20260918T180423.log,
ian_janela-cobranca_sem_ia_20260918T180307,Ian,janela-cobranca,sem_ia,2026-09-18T16:01:14.803096+00:00,2026-09-18T16:04:00.343096+00:00,165.54,2.76,35.0,passou,8,8,0,pytest trials/ian_janela-cobranca_sem_ia_20260918T180307,data/logs/ian_janela-cobranca_sem_ia_20260918T180307.log,
ian_agenda-recorrente_com_ia_20260918T181630,Ian,agenda-recorrente,com_ia,2026-09-18T16:07:36.397183+00:00,2026-09-18T16:13:54.597183+00:00,378.2,6.3,35.0,passou,8,8,0,pytest trials/ian_agenda-recorrente_com_ia_20260918T181630,data/logs/ian_agenda-recorrente_com_ia_20260918T181630.log,
ian_roteador-notificacoes_sem_ia_20260918T182447,Ian,roteador-notificacoes,sem_ia,2026-09-18T16:17:06.262298+00:00,2026-09-18T16:23:50.602298+00:00,404.34,6.74,35.0,passou,8,8,0,pytest trials/ian_roteador-notificacoes_sem_ia_20260918T182447,data/logs/ian_roteador-notificacoes_sem_ia_20260918T182447.log,
jolonga_fila-prioridade_com_ia_20260920T190223,Jolonga,fila-prioridade,com_ia,2026-09-20T16:54:35.478060+00:00,2026-09-20T16:57:18.618060+00:00,163.14,2.72,35.0,passou,8,8,0,pytest trials/jolonga_fila-prioridade_com_ia_20260920T190223,data/logs/jolonga_fila-prioridade_com_ia_20260920T190223.log,
jolonga_janela-cobranca_sem_ia_20260920T192250,Jolonga,janela-cobranca,sem_ia,2026-09-20T17:02:17.526190+00:00,2026-09-20T17:07:46.056190+00:00,328.53,5.48,35.0,passou,8,8,0,pytest trials/jolonga_janela-cobranca_sem_ia_20260920T192250,data/logs/jolonga_janela-cobranca_sem_ia_20260920T192250.log,
jolonga_agenda-recorrente_com_ia_20260920T191643,Jolonga,agenda-recorrente,com_ia,2026-09-20T17:09:50.381868+00:00,2026-09-20T17:12:29.851868+00:00,159.47,2.66,35.0,passou,8,8,0,pytest trials/jolonga_agenda-recorrente_com_ia_20260920T191643,data/logs/jolonga_agenda-recorrente_com_ia_20260920T191643.log,
jolonga_roteador-notificacoes_sem_ia_20260920T191857,Jolonga,roteador-notificacoes,sem_ia,2026-09-20T17:14:55.597216+00:00,2026-09-20T17:24:38.047216+00:00,582.45,9.71,35.0,passou,8,8,0,pytest trials/jolonga_roteador-notificacoes_sem_ia_20260920T191857,data/logs/jolonga_roteador-notificacoes_sem_ia_20260920T191857.log,
alemao_fila-prioridade_com_ia_20260924T182207,Alemao,fila-prioridade,com_ia,2026-09-24T16:13:19.730549+00:00,2026-09-24T16:15:52.990549+00:00,153.26,2.55,35.0,passou,8,8,0,pytest trials/alemao_fila-prioridade_com_ia_20260924T182207,data/logs/alemao_fila-prioridade_com_ia_20260924T182207.log,
alemao_janela-cobranca_sem_ia_20260924T184054,Alemao,janela-cobranca,sem_ia,2026-09-24T16:20:35.208493+00:00,2026-09-24T16:25:49.368493+00:00,314.16,5.24,35.0,passou,8,8,0,pytest trials/alemao_janela-cobranca_sem_ia_20260924T184054,data/logs/alemao_janela-cobranca_sem_ia_20260924T184054.log,
alemao_agenda-recorrente_com_ia_20260924T184652,Alemao,agenda-recorrente,com_ia,2026-09-24T16:28:32.170434+00:00,2026-09-24T16:31:20.440434+00:00,168.27,2.8,35.0,passou,8,8,0,pytest trials/alemao_agenda-recorrente_com_ia_20260924T184652,data/logs/alemao_agenda-recorrente_com_ia_20260924T184652.log,
alemao_roteador-notificacoes_sem_ia_20260924T183709,Alemao,roteador-notificacoes,sem_ia,2026-09-24T16:32:37.094155+00:00,2026-09-24T16:36:03.344155+00:00,206.25,3.44,35.0,passou,8,8,0,pytest trials/alemao_roteador-notificacoes_sem_ia_20260924T183709,data/logs/alemao_roteador-notificacoes_sem_ia_20260924T183709.log,
marco_fila-prioridade_sem_ia_20260923T165106,Marco,fila-prioridade,sem_ia,2026-09-23T14:26:47.298784+00:00,2026-09-23T14:34:46.328784+00:00,479.03,7.98,35.0,passou,8,8,0,pytest trials/marco_fila-prioridade_sem_ia_20260923T165106,data/logs/marco_fila-prioridade_sem_ia_20260923T165106.log,
marco_janela-cobranca_com_ia_20260923T164852,Marco,janela-cobranca,com_ia,2026-09-23T14:39:06.066755+00:00,2026-09-23T14:43:58.676755+00:00,292.61,4.88,35.0,passou,8,8,0,pytest trials/marco_janela-cobranca_com_ia_20260923T164852,data/logs/marco_janela-cobranca_com_ia_20260923T164852.log,
marco_agenda-recorrente_sem_ia_20260923T165825,Marco,agenda-recorrente,sem_ia,2026-09-23T14:47:01.233894+00:00,2026-09-23T14:53:53.843894+00:00,412.61,6.88,35.0,passou,8,8,0,pytest trials/marco_agenda-recorrente_sem_ia_20260923T165825,data/logs/marco_agenda-recorrente_sem_ia_20260923T165825.log,
marco_roteador-notificacoes_com_ia_20260923T171928,Marco,roteador-notificacoes,com_ia,2026-09-23T14:55:15.926863+00:00,2026-09-23T15:01:18.726863+00:00,362.8,6.05,35.0,passou,8,8,0,pytest trials/marco_roteador-notificacoes_com_ia_20260923T171928,data/logs/marco_roteador-notificacoes_com_ia_20260923T171928.log,
felipemello_fila-prioridade_sem_ia_20260921T171715,Felipe Mello,fila-prioridade,sem_ia,2026-09-21T14:58:34.985983+00:00,2026-09-21T15:06:17.415983+00:00,462.43,7.71,35.0,passou,8,8,0,pytest trials/felipemello_fila-prioridade_sem_ia_20260921T171715,data/logs/felipemello_fila-prioridade_sem_ia_20260921T171715.log,
felipemello_janela-cobranca_com_ia_20260921T173204,Felipe Mello,janela-cobranca,com_ia,2026-09-21T15:10:08.565246+00:00,2026-09-21T15:16:23.125246+00:00,374.56,6.24,35.0,passou,8,8,0,pytest trials/felipemello_janela-cobranca_com_ia_20260921T173204,data/logs/felipemello_janela-cobranca_com_ia_20260921T173204.log,
felipemello_agenda-recorrente_sem_ia_20260921T172850,Felipe Mello,agenda-recorrente,sem_ia,2026-09-21T15:19:18.623003+00:00,2026-09-21T15:27:10.393003+00:00,471.77,7.86,35.0,passou,8,8,0,pytest trials/felipemello_agenda-recorrente_sem_ia_20260921T172850,data/logs/felipemello_agenda-recorrente_sem_ia_20260921T172850.log,
felipemello_roteador-notificacoes_com_ia_20260921T174012,Felipe Mello,roteador-notificacoes,com_ia,2026-09-21T15:31:42.251405+00:00,2026-09-21T15:36:31.561405+00:00,289.31,4.82,35.0,passou,8,8,0,pytest trials/felipemello_roteador-notificacoes_com_ia_20260921T174012,data/logs/felipemello_roteador-notificacoes_com_ia_20260921T174012.log,
felipao_fila-prioridade_sem_ia_20260919T195350,Felipão,fila-prioridade,sem_ia,2026-09-19T17:30:09.767832+00:00,2026-09-19T17:32:46.957832+00:00,157.19,2.62,35.0,passou,8,8,0,pytest trials/felipao_fila-prioridade_sem_ia_20260919T195350,data/logs/felipao_fila-prioridade_sem_ia_20260919T195350.log,
felipao_janela-cobranca_com_ia_20260919T195516,Felipão,janela-cobranca,com_ia,2026-09-19T17:35:57.224868+00:00,2026-09-19T17:39:12.344868+00:00,195.12,3.25,35.0,passou,8,8,0,pytest trials/felipao_janela-cobranca_com_ia_20260919T195516,data/logs/felipao_janela-cobranca_com_ia_20260919T195516.log,
felipao_agenda-recorrente_sem_ia_20260919T200446,Felipão,agenda-recorrente,sem_ia,2026-09-19T17:43:52.654836+00:00,2026-09-19T17:53:07.604836+00:00,554.95,9.25,35.0,passou,8,8,0,pytest trials/felipao_agenda-recorrente_sem_ia_20260919T200446,data/logs/felipao_agenda-recorrente_sem_ia_20260919T200446.log,
felipao_roteador-notificacoes_com_ia_20260919T201804,Felipão,roteador-notificacoes,com_ia,2026-09-19T17:56:02.761554+00:00,2026-09-19T18:03:41.371554+00:00,458.61,7.64,35.0,passou,8,8,0,pytest trials/felipao_roteador-notificacoes_com_ia_20260919T201804,data/logs/felipao_roteador-notificacoes_com_ia_20260919T201804.log,
roberta_fila-prioridade_sem_ia_20260920T162802,Roberta,fila-prioridade,sem_ia,2026-09-20T14:22:20.878886+00:00,2026-09-20T14:26:31.858886+00:00,250.98,4.18,35.0,passou,8,8,0,pytest trials/roberta_fila-prioridade_sem_ia_20260920T162802,data/logs/roberta_fila-prioridade_sem_ia_20260920T162802.log,
roberta_janela-cobranca_com_ia_20260920T164334,Roberta,janela-cobranca,com_ia,2026-09-20T14:29:36.548324+00:00,2026-09-20T14:35:28.588324+00:00,352.04,5.87,35.0,passou,8,8,0,pytest trials/roberta_janela-cobranca_com_ia_20260920T164334,data/logs/roberta_janela-cobranca_com_ia_20260920T164334.log,
roberta_agenda-recorrente_sem_ia_20260920T165605,Roberta,agenda-recorrente,sem_ia,2026-09-20T14:40:22.825399+00:00,2026-09-20T14:44:09.645399+00:00,226.82,3.78,35.0,passou,8,8,0,pytest trials/roberta_agenda-recorrente_sem_ia_20260920T165605,data/logs/roberta_agenda-recorrente_sem_ia_20260920T165605.log,
roberta_roteador-notificacoes_com_ia_20260920T170542,Roberta,roteador-notificacoes,com_ia,2026-09-20T14:47:32.316293+00:00,2026-09-20T14:53:38.316293+00:00,366.0,6.1,35.0,passou,8,8,0,pytest trials/roberta_roteador-notificacoes_com_ia_20260920T170542,data/logs/roberta_roteador-notificacoes_com_ia_20260920T170542.log,
pedrinho_fila-prioridade_sem_ia_20260919T145722,Pedrinho,fila-prioridade,sem_ia,2026-09-19T12:53:32.040549+00:00,2026-09-19T13:01:18.570549+00:00,466.53,7.78,35.0,passou,8,8,0,pytest trials/pedrinho_fila-prioridade_sem_ia_20260919T145722,data/logs/pedrinho_fila-prioridade_sem_ia_20260919T145722.log,
pedrinho_janela-cobranca_com_ia_20260919T150541,Pedrinho,janela-cobranca,com_ia,2026-09-19T13:05:40.503899+00:00,2026-09-19T13:10:33.903899+00:00,293.4,4.89,35.0,passou,8,8,0,pytest trials/pedrinho_janela-cobranca_com_ia_20260919T150541,data/logs/pedrinho_janela-cobranca_com_ia_20260919T150541.log,
pedrinho_agenda-recorrente_sem_ia_20260919T151207,Pedrinho,agenda-recorrente,sem_ia,2026-09-19T13:11:44.928080+00:00,2026-09-19T13:21:10.248080+00:00,565.32,9.42,35.0,passou,8,8,0,pytest trials/pedrinho_agenda-recorrente_sem_ia_20260919T151207,data/logs/pedrinho_agenda-recorrente_sem_ia_20260919T151207.log,
pedrinho_roteador-notificacoes_com_ia_20260919T154421,Pedrinho,roteador-notificacoes,com_ia,2026-09-19T13:24:07.869211+00:00,2026-09-19T13:26:09.909211+00:00,122.04,2.03,35.0,passou,8,8,0,pytest trials/pedrinho_roteador-notificacoes_com_ia_20260919T154421,data/logs/pedrinho_roteador-notificacoes_com_ia_20260919T154421.log,
